source_row,track,album,artist,genre,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_chain
12,Comfortably Numb,The Wall,Pink Floyd,Prog Rock,"Pink Floyd before a white brick wall, blue mortar lines, red handwritten graffiti, sparse punk-minimal design, stark theatrical mood","Pink Floyd tracing the same red letters across cold white tiles, scratched marker texture, empty institutional space, raw cover style","Pink Floyd behind the wall as white bricks repeat, red script becomes a warning, pale blue grid, austere concept-art mood","Pink Floyd in a blank tiled corridor, smeared crimson handwriting, hard geometry, minimal colors, alienated album-cover atmosphere","Pink Floyd at the last brick seam, white wall dominating, red title scarred across it, cold blue lines, severe graphic finish","Pink Floyd before a white brick wall, blue mortar lines, red handwritten graffiti, sparse punk-minimal design, stark theatrical mood || Pink Floyd tracing the same red letters across cold white tiles, scratched marker texture, empty institutional space, raw cover style || Pink Floyd behind the wall as white bricks repeat, red script becomes a warning, pale blue grid, austere concept-art mood || Pink Floyd in a blank tiled corridor, smeared crimson handwriting, hard geometry, minimal colors, alienated album-cover atmosphere || Pink Floyd at the last brick seam, white wall dominating, red title scarred across it, cold blue lines, severe graphic finish"
13,Another Brick in the Wall Pt. 2,The Wall,Pink Floyd,Prog Rock,"Pink Floyd before a white brick wall, blue mortar lines, red handwritten graffiti, sparse punk-minimal design, stark theatrical mood","Pink Floyd tracing the same red letters across cold white tiles, scratched marker texture, empty institutional space, raw cover style","Pink Floyd behind the wall as white bricks repeat, red script becomes a warning, pale blue grid, austere concept-art mood","Pink Floyd in a blank tiled corridor, smeared crimson handwriting, hard geometry, minimal colors, alienated album-cover atmosphere","Pink Floyd at the last brick seam, white wall dominating, red title scarred across it, cold blue lines, severe graphic finish","Pink Floyd before a white brick wall, blue mortar lines, red handwritten graffiti, sparse punk-minimal design, stark theatrical mood || Pink Floyd tracing the same red letters across cold white tiles, scratched marker texture, empty institutional space, raw cover style || Pink Floyd behind the wall as white bricks repeat, red script becomes a warning, pale blue grid, austere concept-art mood || Pink Floyd in a blank tiled corridor, smeared crimson handwriting, hard geometry, minimal colors, alienated album-cover atmosphere || Pink Floyd at the last brick seam, white wall dominating, red title scarred across it, cold blue lines, severe graphic finish"
14,Wish You Were Here,Wish You Were Here,Pink Floyd,Prog Rock,"Pink Floyd on a worn black scrapbook surface, yellow and red backstage stickers, central handshake emblem, retro collage style","Pink Floyd moving through the same stickered concert wall, dusty gray texture, bright tour passes, circular badge, archival rock mood","Pink Floyd inside a vintage pass collage, pink red yellow labels, desert and sea handshake icon, weathered paper design","Pink Floyd watching the mechanical handshake split land and water, black scuffed background, turquoise orange details, nostalgic poster style","Pink Floyd ending among faded backstage decals, rough beige scratches, bright circular emblem, road-worn classic-rock cover finish","Pink Floyd on a worn black scrapbook surface, yellow and red backstage stickers, central handshake emblem, retro collage style || Pink Floyd moving through the same stickered concert wall, dusty gray texture, bright tour passes, circular badge, archival rock mood || Pink Floyd inside a vintage pass collage, pink red yellow labels, desert and sea handshake icon, weathered paper design || Pink Floyd watching the mechanical handshake split land and water, black scuffed background, turquoise orange details, nostalgic poster style || Pink Floyd ending among faded backstage decals, rough beige scratches, bright circular emblem, road-worn classic-rock cover finish"
15,Stairway to Heaven,Led Zeppelin IV,Led Zeppelin,Hard Rock,"Led Zeppelin before peeling floral wallpaper, old black frame, bent worker carrying sticks, muted browns and cream, rustic folk-rock style","Led Zeppelin stepping closer to the same framed rural scene, cracked plaster, dark field, sepia tones, antique photographic mood","Led Zeppelin inside a weathered room, torn paper textures, small pastoral portrait, brown coat and bundled branches, mythic vintage design","Led Zeppelin watching the wall decay around the picture, cream dust, black frame, faded greens, handmade occult-folk atmosphere","Led Zeppelin at the final worn frame, peeling wallpaper and earthy browns, solitary burdened figure, aged pastoral album finish","Led Zeppelin before peeling floral wallpaper, old black frame, bent worker carrying sticks, muted browns and cream, rustic folk-rock style || Led Zeppelin stepping closer to the same framed rural scene, cracked plaster, dark field, sepia tones, antique photographic mood || Led Zeppelin inside a weathered room, torn paper textures, small pastoral portrait, brown coat and bundled branches, mythic vintage design || Led Zeppelin watching the wall decay around the picture, cream dust, black frame, faded greens, handmade occult-folk atmosphere || Led Zeppelin at the final worn frame, peeling wallpaper and earthy browns, solitary burdened figure, aged pastoral album finish"
16,When the Levee Breaks,Led Zeppelin IV,Led Zeppelin,Hard Rock,"Led Zeppelin before peeling floral wallpaper, old black frame, bent worker carrying sticks, muted browns and cream, rustic folk-rock style","Led Zeppelin stepping closer to the same framed rural scene, cracked plaster, dark field, sepia tones, antique photographic mood","Led Zeppelin inside a weathered room, torn paper textures, small pastoral portrait, brown coat and bundled branches, mythic vintage design","Led Zeppelin watching the wall decay around the picture, cream dust, black frame, faded greens, handmade occult-folk atmosphere","Led Zeppelin at the final worn frame, peeling wallpaper and earthy browns, solitary burdened figure, aged pastoral album finish","Led Zeppelin before peeling floral wallpaper, old black frame, bent worker carrying sticks, muted browns and cream, rustic folk-rock style || Led Zeppelin stepping closer to the same framed rural scene, cracked plaster, dark field, sepia tones, antique photographic mood || Led Zeppelin inside a weathered room, torn paper textures, small pastoral portrait, brown coat and bundled branches, mythic vintage design || Led Zeppelin watching the wall decay around the picture, cream dust, black frame, faded greens, handmade occult-folk atmosphere || Led Zeppelin at the final worn frame, peeling wallpaper and earthy browns, solitary burdened figure, aged pastoral album finish"
17,The Jean Genie,Aladdin Sane,David Bowie,Glam Rock,"David Bowie as a pale studio portrait, red hair, blue-red lightning face paint, white background, glam-rock fashion photography","David Bowie beneath the same electric makeup, closed eyes, porcelain skin, scarlet and cobalt slash, elegant surreal glamour","David Bowie framed in clean white space, copper hair rising, metallic red lightning, soft pink skin tones, theatrical pop-art style","David Bowie holding still as the painted bolt becomes a stage signal, blue edges, crimson shine, pristine fashion-cover mood","David Bowie ending in an iconic white portrait, red hair and lightning makeup glowing, minimal typography, polished glam finish","David Bowie as a pale studio portrait, red hair, blue-red lightning face paint, white background, glam-rock fashion photography || David Bowie beneath the same electric makeup, closed eyes, porcelain skin, scarlet and cobalt slash, elegant surreal glamour || David Bowie framed in clean white space, copper hair rising, metallic red lightning, soft pink skin tones, theatrical pop-art style || David Bowie holding still as the painted bolt becomes a stage signal, blue edges, crimson shine, pristine fashion-cover mood || David Bowie ending in an iconic white portrait, red hair and lightning makeup glowing, minimal typography, polished glam finish"
18,Panic in Detroit,Aladdin Sane,David Bowie,Glam Rock,"David Bowie as a pale studio portrait, red hair, blue-red lightning face paint, white background, glam-rock fashion photography","David Bowie beneath the same electric makeup, closed eyes, porcelain skin, scarlet and cobalt slash, elegant surreal glamour","David Bowie framed in clean white space, copper hair rising, metallic red lightning, soft pink skin tones, theatrical pop-art style","David Bowie holding still as the painted bolt becomes a stage signal, blue edges, crimson shine, pristine fashion-cover mood","David Bowie ending in an iconic white portrait, red hair and lightning makeup glowing, minimal typography, polished glam finish","David Bowie as a pale studio portrait, red hair, blue-red lightning face paint, white background, glam-rock fashion photography || David Bowie beneath the same electric makeup, closed eyes, porcelain skin, scarlet and cobalt slash, elegant surreal glamour || David Bowie framed in clean white space, copper hair rising, metallic red lightning, soft pink skin tones, theatrical pop-art style || David Bowie holding still as the painted bolt becomes a stage signal, blue edges, crimson shine, pristine fashion-cover mood || David Bowie ending in an iconic white portrait, red hair and lightning makeup glowing, minimal typography, polished glam finish"
19,Heroes,Heroes,David Bowie,Art Rock,"David Bowie in stark black-and-white portrait light, raised hands, sharp shadows, cropped studio frame, dramatic art-rock cover style","David Bowie continuing the same monochrome gesture, pale face against black, angular hands near the chest, expressive minimal photography","David Bowie framed like a silent performance still, gray skin tones, black jacket, tense pose, clean Berlin-era modernism","David Bowie turning the gesture into sculpture, white highlights, deep black field, restrained type, theatrical monochrome mood","David Bowie finishing in a grainy black-white icon, hands frozen mid-motion, hard contrast, elegant experimental album finish","David Bowie in stark black-and-white portrait light, raised hands, sharp shadows, cropped studio frame, dramatic art-rock cover style || David Bowie continuing the same monochrome gesture, pale face against black, angular hands near the chest, expressive minimal photography || David Bowie framed like a silent performance still, gray skin tones, black jacket, tense pose, clean Berlin-era modernism || David Bowie turning the gesture into sculpture, white highlights, deep black field, restrained type, theatrical monochrome mood || David Bowie finishing in a grainy black-white icon, hands frozen mid-motion, hard contrast, elegant experimental album finish"
20,Transmission,Unknown Pleasures,Joy Division,Post-Punk,"Joy Division in a black void with white pulse-wave ridges, minimal scientific graphic, monochrome palette, silent post-punk atmosphere","Joy Division following the same waveform across darkness, white peaks rising like terrain, no extra color, austere data-design style","Joy Division inside a black observatory of sound, stacked white signal lines, precise spacing, cold astronomical cover mood","Joy Division watching the waveform become a mountain range, pure black field, thin white curves, minimal post-punk geometry","Joy Division ending with only signal and silence, white wave ridges centered, black negative space, iconic monochrome finish","Joy Division in a black void with white pulse-wave ridges, minimal scientific graphic, monochrome palette, silent post-punk atmosphere || Joy Division following the same waveform across darkness, white peaks rising like terrain, no extra color, austere data-design style || Joy Division inside a black observatory of sound, stacked white signal lines, precise spacing, cold astronomical cover mood || Joy Division watching the waveform become a mountain range, pure black field, thin white curves, minimal post-punk geometry || Joy Division ending with only signal and silence, white wave ridges centered, black negative space, iconic monochrome finish"
21,She's Lost Control,Unknown Pleasures,Joy Division,Post-Punk,"Joy Division in a black void with white pulse-wave ridges, minimal scientific graphic, monochrome palette, silent post-punk atmosphere","Joy Division following the same waveform across darkness, white peaks rising like terrain, no extra color, austere data-design style","Joy Division inside a black observatory of sound, stacked white signal lines, precise spacing, cold astronomical cover mood","Joy Division watching the waveform become a mountain range, pure black field, thin white curves, minimal post-punk geometry","Joy Division ending with only signal and silence, white wave ridges centered, black negative space, iconic monochrome finish","Joy Division in a black void with white pulse-wave ridges, minimal scientific graphic, monochrome palette, silent post-punk atmosphere || Joy Division following the same waveform across darkness, white peaks rising like terrain, no extra color, austere data-design style || Joy Division inside a black observatory of sound, stacked white signal lines, precise spacing, cold astronomical cover mood || Joy Division watching the waveform become a mountain range, pure black field, thin white curves, minimal post-punk geometry || Joy Division ending with only signal and silence, white wave ridges centered, black negative space, iconic monochrome finish"
22,Blue Monday,Power Corruption & Lies,New Order,Synth-Pop,"New Order among formal flowers on a pale background, soft red and green petals, coded color bars, refined post-punk design","New Order moving through the same botanical still life, cream space, delicate blossoms, hidden color-code strip, elegant graphic mood","New Order beside a museum-like flower arrangement, muted whites, crimson petals, green stems, coded modernist typography absent","New Order watching romance turn into data, floral photograph meeting small color blocks, pale palette, precise album-cover style","New Order ending in a quiet flower study, cream white field, red-green blooms, coded bands, understated electronic-pop finish","New Order among formal flowers on a pale background, soft red and green petals, coded color bars, refined post-punk design || New Order moving through the same botanical still life, cream space, delicate blossoms, hidden color-code strip, elegant graphic mood || New Order beside a museum-like flower arrangement, muted whites, crimson petals, green stems, coded modernist typography absent || New Order watching romance turn into data, floral photograph meeting small color blocks, pale palette, precise album-cover style || New Order ending in a quiet flower study, cream white field, red-green blooms, coded bands, understated electronic-pop finish"
23,Age of Consent,Power Corruption & Lies,New Order,Synth-Pop,"New Order among formal flowers on a pale background, soft red and green petals, coded color bars, refined post-punk design","New Order moving through the same botanical still life, cream space, delicate blossoms, hidden color-code strip, elegant graphic mood","New Order beside a museum-like flower arrangement, muted whites, crimson petals, green stems, coded modernist typography absent","New Order watching romance turn into data, floral photograph meeting small color blocks, pale palette, precise album-cover style","New Order ending in a quiet flower study, cream white field, red-green blooms, coded bands, understated electronic-pop finish","New Order among formal flowers on a pale background, soft red and green petals, coded color bars, refined post-punk design || New Order moving through the same botanical still life, cream space, delicate blossoms, hidden color-code strip, elegant graphic mood || New Order beside a museum-like flower arrangement, muted whites, crimson petals, green stems, coded modernist typography absent || New Order watching romance turn into data, floral photograph meeting small color blocks, pale palette, precise album-cover style || New Order ending in a quiet flower study, cream white field, red-green blooms, coded bands, understated electronic-pop finish"
24,Enjoy the Silence,Violator,Depeche Mode,Synth-Pop,"Depeche Mode in a black void with a glossy red rose, sparse white script, gray side label, elegant synth-pop minimalism","Depeche Mode following the same red stem through darkness, lacquered leaves catching white highlights, black negative space, romantic severity","Depeche Mode beside a single crimson flower, polished petals, vertical composition, monochrome shadows, sensual gothic cover style","Depeche Mode watching the rose split the frame, red against near-black, handwritten white accent, restrained dramatic mood","Depeche Mode ending on the lonely red rose, black field, sharp gloss, minimal typography, iconic dark-pop finish","Depeche Mode in a black void with a glossy red rose, sparse white script, gray side label, elegant synth-pop minimalism || Depeche Mode following the same red stem through darkness, lacquered leaves catching white highlights, black negative space, romantic severity || Depeche Mode beside a single crimson flower, polished petals, vertical composition, monochrome shadows, sensual gothic cover style || Depeche Mode watching the rose split the frame, red against near-black, handwritten white accent, restrained dramatic mood || Depeche Mode ending on the lonely red rose, black field, sharp gloss, minimal typography, iconic dark-pop finish"
25,Personal Jesus,Violator,Depeche Mode,Synth-Pop,"Depeche Mode in a black void with a glossy red rose, sparse white script, gray side label, elegant synth-pop minimalism","Depeche Mode following the same red stem through darkness, lacquered leaves catching white highlights, black negative space, romantic severity","Depeche Mode beside a single crimson flower, polished petals, vertical composition, monochrome shadows, sensual gothic cover style","Depeche Mode watching the rose split the frame, red against near-black, handwritten white accent, restrained dramatic mood","Depeche Mode ending on the lonely red rose, black field, sharp gloss, minimal typography, iconic dark-pop finish","Depeche Mode in a black void with a glossy red rose, sparse white script, gray side label, elegant synth-pop minimalism || Depeche Mode following the same red stem through darkness, lacquered leaves catching white highlights, black negative space, romantic severity || Depeche Mode beside a single crimson flower, polished petals, vertical composition, monochrome shadows, sensual gothic cover style || Depeche Mode watching the rose split the frame, red against near-black, handwritten white accent, restrained dramatic mood || Depeche Mode ending on the lonely red rose, black field, sharp gloss, minimal typography, iconic dark-pop finish"
26,With or Without You,The Joshua Tree,U2,Rock,"U2 standing before a black-and-white desert panorama, wide mountains, gold border, stark documentary rock photography, solemn mood","U2 crossing the same barren landscape, gray hills stretching behind them, black clothing, cinematic horizontal frame, desert minimalism","U2 framed by dry valleys and pale sky, monochrome tones, distant ridges, serious band portrait, windswept album-cover style","U2 watching the desert open into silence, black border and thin gold line, grainy photography, spiritual rock atmosphere","U2 ending in a wide gray wilderness, band figures at the edge, high contrast, austere panoramic classic-rock finish","U2 standing before a black-and-white desert panorama, wide mountains, gold border, stark documentary rock photography, solemn mood || U2 crossing the same barren landscape, gray hills stretching behind them, black clothing, cinematic horizontal frame, desert minimalism || U2 framed by dry valleys and pale sky, monochrome tones, distant ridges, serious band portrait, windswept album-cover style || U2 watching the desert open into silence, black border and thin gold line, grainy photography, spiritual rock atmosphere || U2 ending in a wide gray wilderness, band figures at the edge, high contrast, austere panoramic classic-rock finish"
27,Where the Streets Have No Name,The Joshua Tree,U2,Rock,"U2 standing before a black-and-white desert panorama, wide mountains, gold border, stark documentary rock photography, solemn mood","U2 crossing the same barren landscape, gray hills stretching behind them, black clothing, cinematic horizontal frame, desert minimalism","U2 framed by dry valleys and pale sky, monochrome tones, distant ridges, serious band portrait, windswept album-cover style","U2 watching the desert open into silence, black border and thin gold line, grainy photography, spiritual rock atmosphere","U2 ending in a wide gray wilderness, band figures at the edge, high contrast, austere panoramic classic-rock finish","U2 standing before a black-and-white desert panorama, wide mountains, gold border, stark documentary rock photography, solemn mood || U2 crossing the same barren landscape, gray hills stretching behind them, black clothing, cinematic horizontal frame, desert minimalism || U2 framed by dry valleys and pale sky, monochrome tones, distant ridges, serious band portrait, windswept album-cover style || U2 watching the desert open into silence, black border and thin gold line, grainy photography, spiritual rock atmosphere || U2 ending in a wide gray wilderness, band figures at the edge, high contrast, austere panoramic classic-rock finish"
28,Lovesong,Disintegration,The Cure,Gothic Rock,"The Cure inside a dark floral blur, pale green face, black shadows, muted red title, gothic dream-photography style","The Cure drifting through the same faded flowers, smoky whites and blue-gray blacks, half-seen eyes, melancholy nocturnal mood","The Cure surrounded by soft ghost petals, desaturated green skin tones, deep black background, smeared romantic-goth texture","The Cure watching the portrait dissolve into flowers, gray mist, small red lettering, haunted analog album atmosphere","The Cure ending as a blurred face in darkness, pale blossoms, black-green haze, sorrowful gothic cover finish","The Cure inside a dark floral blur, pale green face, black shadows, muted red title, gothic dream-photography style || The Cure drifting through the same faded flowers, smoky whites and blue-gray blacks, half-seen eyes, melancholy nocturnal mood || The Cure surrounded by soft ghost petals, desaturated green skin tones, deep black background, smeared romantic-goth texture || The Cure watching the portrait dissolve into flowers, gray mist, small red lettering, haunted analog album atmosphere || The Cure ending as a blurred face in darkness, pale blossoms, black-green haze, sorrowful gothic cover finish"
